MAC_PREFIX,VENDOR_NAME
00:00:00,OfficiallyXerox
00:00:01,XeroxCorporation
00:00:02,XeroxCorporation
00:00:03,XeroxCorporation
00:00:04,XeroxCorporation
00:00:05,XeroxCorporation
00:00:06,XeroxCorporation
00:00:07,XeroxCorporation
00:00:08,XeroxCorporation
00:00:09,powerpipes
00:00:0A,OmronTateisiElectronicsCo
00:00:0B,MatrixCorporation
00:00:0C,CiscoSystems
00:00:0D,Fibronics
00:00:0E,FujitsuLimited
00:00:0F,Next
00:00:10,Sytek
00:00:11,NormerelSystemes
00:00:12,InformationTechnologyLimited
00:00:15,DatapointCorporation
00:00:16,DuPontPixelSystems
00:00:18,WebsterComputerCorporation#Appletalk/EthernetGateway
00:00:19,AppliedDynamicsInternational
00:00:1A,AdvancedMicroDevices
00:00:1B,Novell(nowEagleTechnology)
00:00:1C,BellTechnologies
00:00:1D,CabletronSystems
00:00:1E,TelsistIndustriaElectronica
00:00:1F,TelcoSystems
00:00:20,DataindustrierDiabAb
00:00:21,SuremanComp&CommunCorp
00:00:22,VisualTechnology
00:00:23,ABBAutomationABDeptQ
00:00:24,ConnectAs
00:00:25,RamtekCorp
00:00:26,Sha-KenCo
00:00:27,JapanRadioCompany
00:00:28,ProdigySystemsCorporation
00:00:29,ImcNetworksCorp
00:00:2A,Trw-Sedd/Inp
00:00:2B,CrispAutomation
00:00:2C,AutototeLimited
00:00:2D,Chromatics
00:00:2E,SocieteEvira
00:00:2F,Timeplex
00:00:30,VgLaboratorySystems
00:00:31,QpsxCommunications
00:00:32,Marconiplc
00:00:33,EganMachineryCompany
00:00:34,NetworkResourcesCorporation
00:00:35,SpectragraphicsCorporation
00:00:36,AtariCorporation
00:00:37,OxfordMetricsLimited
00:00:38,CssLabs
00:00:39,ToshibaCorporation
00:00:3A,ChyronCorporation
00:00:3B,iControls
00:00:3C,AuspexSystems
00:00:3F,Syntrex
00:00:40,Applicon
00:00:41,IceCorporation
00:00:42,MetierManagementSystems
00:00:43,MicroTechnology
00:00:44,CastelleCorporation
00:00:45,FordAerospace&CommCorp
00:00:46,OlivettiNorthAmerica
00:00:47,NicoletInstrumentsCorp
00:00:48,SeikoEpsonCorporation
00:00:49,ApricotComputers
00:00:4A,AdcCodenollTechnologyCorp
00:00:4B,IclDataOy
00:00:4C,NECCorporation
00:00:4D,DciCorporation
00:00:4E,AmpexCorporation
00:00:4F,Logicraft386-WarePCEmulator
00:00:50,RadisysCorporation
00:00:51,HobElectronicGmbh&CoKg
00:00:52,Intrusioncom
00:00:53,Compucorp
00:00:54,SchneiderElectric
00:00:55,CommissariatAL`EnergieAtom
00:00:56,DrBStruck
00:00:57,ScitexCorporation
00:00:58,RacoreComputerProducts
00:00:59,HelligeGMBH
00:00:5A,SK#(Schneider&KochinEuropeandSyskonnectoutsideofEurope)
00:00:5B,EltecElektronikAg
00:00:5C,TelematicsInternational
00:00:5D,CsTelecom
00:00:5E,ICANNIANADepartment
00:00:5F,SumitomoElectricIndustries
00:00:60,KontronEuropeGmbH
00:00:61,GatewayCommunications
00:00:62,BullHnInformationSystems
00:00:63,BarcoControlRoomsGmbh
00:00:64,YokogawaDigitalComputerCorporation
00:00:65,NetworkGeneralCorporation
00:00:66,TalarisSystems
00:00:67,Soft*Rite
00:00:68,RosemountControls
00:00:69,ConcordCommunications
00:00:6A,ComputerConsoles
00:00:6B,SiliconGraphics
00:00:6D,CrayCommunications
00:00:6E,Artisoft
00:00:6F,MadgeNetworks#Token-ringadapters
00:00:70,HclLimited
00:00:71,AdraSystems
00:00:72,MiniwareTechnology
00:00:73,SiecorCorporation
00:00:74,RicohCompany
00:00:75,BellNorthernResearch(BNR)
00:00:76,AbekasVideoSystem
00:00:77,Interphase#[UsedinothersystemsegMIPSMotorola]
00:00:78,LabtamLimited
00:00:79,Networthorporated#[boughtbyCompaqusedinNetelligentseries]
00:00:7A,DanaComputer
00:00:7B,ResearchMachines
00:00:7C,Ampereorporated
00:00:7D,OracleCorporation
00:00:7E,ClustrixCorporation
00:00:7F,Linotype-HellAG#Linotronictypesetters
00:00:80,CrayCommunications
00:00:81,BayNetworks
00:00:82,LectraSystemesSa
00:00:83,TadpoleTechnology[hadOpticalDataSystemswhichiswrongaccordingtoboth]
00:00:85,Canon
00:00:86,MegahertzCorporation
00:00:87,Hitachi
00:00:88,BrocadeCommunicationsSystemsLLC
00:00:89,CaymanSystems#Gatorbox
00:00:8A,DatahouseInformationSystems
00:00:8C,AlloyComputerProducts(Australia)Pty
00:00:8D,Cryptek
00:00:8E,SolbourneComputer
00:00:91,AnritsuCorporation
00:00:92,CogentDataTechnologies
00:00:93,Proteon
00:00:94,Asante#MAC
00:00:95,SonyTektronixCorp
00:00:96,MarconiElectronics
00:00:97,DellEMC
00:00:98,CrosscommCorporation
00:00:99,Mtx
00:00:9A,RcComputerA/S
00:00:9B,InformationInternational
00:00:9C,RolmMil-SpecComputers
00:00:9D,LocusComputingCorporation
00:00:9E,MarliSA
00:00:9F,AmeristarTechnologies
00:00:A0,SANYOElectricCo
00:00:A1,MarquetteElectricCo
00:00:A2,BayNetworks
00:00:A3,NetworkApplicationTechnology
00:00:A4,AcornComputersLimited
00:00:A5,TattileSRL
00:00:A6,NetworkGeneral(internalassignmentnotforproducts)
00:00:A7,NetworkComputingDevices
00:00:A8,StratusTechnologies
00:00:A9,NetworkSystemsCorp
00:00:AA,Xerox#Xeroxmachines
00:00:AB,LogicModelingCorporation
00:00:AC,ConwareNetzpartner#[hadApolloclaimedincorrect]
00:00:AD,BrukerInstruments
00:00:AE,DassaultElectronique
00:00:AF,CanberraIndustries
00:00:B0,Rnd-RadNetworkDevices
00:00:B1,AlphaMicro
00:00:B2,TelevideoSystems
00:00:B3,Cimlincorporated
00:00:B4,EdimaxTechnologyCo
00:00:B5,Datability#TerminalServers
00:00:B6,Micro-MaticResearch
00:00:B7,Dove#Fastnet
00:00:B8,SeikoshaCo
00:00:B9,McdonnellDouglasComputerSys
00:00:BA,Siig
00:00:BB,TRI-DATASystems#Netwayproducts3274emulators
00:00:BC,RockwellAutomation
00:00:BD,MitsubishiCableIndustries/RyoseiSystems
00:00:BE,TheNtiGroup
00:00:BF,SymmetricComputerSystems
00:00:C0,WesternDigitalnowSMC(StdMicrosystemsCorp)
00:00:C1,Madge
00:00:C2,InformationPresentationTech
00:00:C3,HarrisCorporation
00:00:C4,WatersDivOfMillipore
00:00:C5,ARRISGroup
00:00:C6,HPIntelligentNetworksOperation(formerlyEonSystems)
00:00:C7,ArixCorporation
00:00:C8,AltosComputerSystems
00:00:C9,Emulex#TerminalServersPrintServers
00:00:CA,ARRISGroup
00:00:CB,Compu-ShackElectronicGmbh
00:00:CC,DensanCo
00:00:CD,AlliedTelesisLabs
00:00:CE,MegadataCorp
00:00:CF,HayesMicrocomputerProducts
00:00:D0,DevelconElectronics
00:00:D1,Adaptec#"Nodem"product
00:00:D2,Sbe
00:00:D3,WangLaboratories
00:00:D4,PureData
00:00:D5,MicrognosisInternational
00:00:D6,PunchLineHolding
00:00:D7,DartmouthCollege(NEDRouter)
00:00:D8,oldNovellNE1000's(beforeabout1987?)(also3Com)
00:00:D9,NipponTelegraph&Telephone
00:00:DB,BritishTelecommunicationsplc
00:00:DC,HayesMicrocomputerProducts
00:00:DD,Tclorporated
00:00:DF,Bell&HowellPubSysDiv
00:00:E0,QuadramCorp
00:00:E1,GridSystems
00:00:E2,AcerTechnologiesCorp
00:00:E3,IntegratedMicroProducts
00:00:E4,In2GroupeIntertechnique
00:00:E5,Sigmex
00:00:E6,AptorProduitsDeCommIndust
00:00:E7,StarGateTechnologies
00:00:E8,AcctonTechnologyCorp
00:00:E9,Isicad
00:00:EA,UpnodAb
00:00:EB,MatsushitaCommIndCo
00:00:EC,Microprocess
00:00:EE,NetworkDesignersLimited[alsoKNXaformerdivision]
00:00:F0,SamsungElectronicsCo
00:00:F1,MagnaComputerCorporation
00:00:F2,SpiderCommunications#(MontrealnotSpiderSystems)
00:00:F3,GandalfData-Canada
00:00:F4,AlliedTelesis
00:00:F5,DiamondSalesLimited
00:00:F6,AppliedMicrosystemsCorp
00:00:F7,YouthKeepEnterpriseCo
00:00:F8,DigitalEquipmentCorporation
00:00:F9,QuotronSystems
00:00:FA,MicrosageComputerSystems
00:00:FB,RechnerZurKommunikation
00:00:FD,HighLevelHardware(OrionUK)
00:00:FE,AnnapolisMicroSystems
00:00:FF,CamtecElectronics
00:01:00,Equip'Trans
00:01:04,DVICOCo
00:01:05,BeckhoffAutomationGmbH
00:01:06,TewsDatentechnikGmbH
00:01:07,LeiserGmbH
00:01:08,AVLABTechnology
00:01:09,NaganoJapanRadioCo
00:01:0A,CisTechnology
00:01:0B,SpaceCyberLink
00:01:0C,SystemTalks
00:01:0D,TeledyneDALSA
00:01:0E,Bri-LinkTechnologiesCo
00:01:0F,BrocadeCommunicationsSystemsLLC
00:01:10,GothamNetworks
00:01:11,iDigm
00:01:12,SharkMultimedia
00:01:13,OlympusCorporation
00:01:14,KandaTsushinKogyoCo
00:01:15,ExtratechCorporation
00:01:16,NetspectTechnologies
00:01:17,Canal+
00:01:18,EZDigitalCo
00:01:19,RTUnet(Australia)
00:01:1A,HoffmannundBurmeisterGbR
00:01:1B,UnizoneTechnologies
00:01:1C,UniversalTalkwareCorporation
00:01:1D,CentilliumCommunications
00:01:1E,PrecidiaTechnologies
00:01:1F,RCNetworks
00:01:20,OscilloquartzSA
00:01:21,WatchGuardTechnologies
00:01:22,TrendCommunications
00:01:23,SchneiderElectricJapanHoldings
00:01:24,Acerorporated
00:01:25,YaesuMusenCo
00:01:26,PACLabs
00:01:27,OPENNetworksPty
00:01:28,EnjoyWeb
00:01:29,DFI
00:01:2A,TelematicaSistemsInteligente
00:01:2B,TELENETCo
00:01:2C,AravoxTechnologies
00:01:2D,KomodoTechnology
00:01:2E,PCPartner
00:01:2F,TwinheadInternationalCorp
00:01:30,ExtremeNetworks
00:01:31,BoschSecuritySystems
00:01:32,Dranetz-BMI
00:01:33,KYOWAElectronicInstrumentsC
00:01:34,SelectronSystemsAG
00:01:35,KDCCorp
00:01:36,CyberTANTechnology
00:01:37,ITFarmCorporation
00:01:38,XAViTechnologiesCorp
00:01:39,PointMultimediaSystems
00:01:3A,ShelcadCommunications
00:01:3B,BnaSystems
00:01:3C,TiwSystems
00:01:3D,RiscStation
00:01:3E,AscomTatecoAB
00:01:3F,NeighborWorldCo
00:01:40,SendtekCorporation
00:01:41,CablePrint
00:01:42,CiscoSystems
00:01:43,IEEE802
00:01:44,DellEMC
00:01:45,Winsystems
00:01:46,TescoControls
00:01:47,ZhoneTechnologies
00:01:48,X-traWeb
00:01:49,TdtAg
00:01:4A,SonyCorporation
00:01:4B,EnnovateNetworks
00:01:4C,BerkeleyProcessControl
00:01:4D,ShinKinEnterprisesCo
00:01:4E,WINEnterprises
00:01:4F,Adtran
00:01:50,GilatCommunications
00:01:51,EnsembleCommunications
00:01:52,Chromatek
00:01:53,ArchtekTelecomCorporation
00:01:54,G3MCorporation
00:01:55,PromiseTechnology
00:01:56,FirewiredirectCom
00:01:57,SyswaveCo
00:01:58,ElectroIndustries/GaugeTech
00:01:59,S1Corporation
00:01:5A,DigitalVideoBroadcasting
00:01:5B,ITALTELSpA/RF-UP-I
00:01:5C,Cadant
00:01:5D,OracleCorporation
00:01:5E,BestTechnologyCo
00:01:5F,DIGITALDESIGNGmbH
00:01:60,ELMEXCoLTD
00:01:61,MetaMachineTechnology
00:01:62,CygnetTechnologies
00:01:63,NDC(NationalDatacommCorporation)
00:01:64,CiscoSystems
00:01:65,AirSwitchCorporation
00:01:66,TcGroupA/S
00:01:67,HiokiEECorporation
00:01:68,VitanaCorporation
00:01:69,CelestixNetworksPte
00:01:6B,LightChip
00:01:6D,CarrierComm
00:01:6E,ConklinCorporation
00:01:6F,InkelCorp
00:01:70,ESEEmbeddedSystemEngineer'g
00:01:71,AlliedDataTechnologies
00:01:72,TechnoLandCoLTD
00:01:74,CyberOpticsCorporation
00:01:75,RadiantCommunicationsCorp
00:01:76,OrientSilverEnterprises
00:01:78,MARGISystems
